"player_id","squad_id","player","position"
182347,43899,"Atiba Hutchinson","3"
190962,43924,"Dani Alves","2"
197419,43976,"Danny Vukovic","1"
198117,43819,"Eiji Kawashima","1"
199175,43901,"Keylor Navas","1"
200199,43963,"João Moutinho","3"
201200,43963,"Cristiano Ronaldo","4"
212413,43888,"Aymen Mathlouthi","1"
214876,43901,"Bryan Ruiz","3"
215285,43911,"Guillermo Ochoa","1"
216814,43969,"Sergio Ramos","2"
216820,43969,"Raúl Albiol","2"
228537,43922,"Papu Gomez","3"
228912,43948,"Manuel Neuer","1"
229397,43922,"Lionel Messi","4"
229498,43930,"Fernando Muslera","1"
235097,43860,"Mubarak Wakaso","3"
236530,43901,"Celso Borges","3"
236536,43901,"Kendall Waston","2"
238112,43911,"Hector Moreno","2"
241559,43938,"Luka Modric","3"
251352,43911,"Andres Guardado","3"
254090,43960,"Remko Pasveer","1"
254133,43946,"Steve Mandanda","1"
266800,43922,"Angel Di Maria","3"
267750,43899,"Steven Vitoria","2"
267829,43930,"Martin Caceres","2"
267834,43930,"Edinson Cavani","4"
268714,43911,"Rodolfo Cota","1"
268832,43901,"Esteban Alvarado","1"
269695,43962,"Kamil Glik","2"
269706,43962,"Kamil Grosicki","3"
269735,43962,"Grzegorz Krychowiak","3"
269746,43962,"Wojciech Szczesny","1"
269768,43963,"Rui Patricio","1"
270149,43901,"Bryan Oviedo","2"
270775,43930,"Luis Suarez","4"
270895,43962,"Artur Jedrzejczyk","2"
270948,43969,"Cesar Azpilicueta","2"
271253,43819,"Maya Yoshida","2"
273798,43888,"Youssef Msakni","4"
273996,43935,"Eden Hazard","3"
274008,43935,"Christian Benteke","4"
274179,43948,"Kevin Trapp","1"
274281,43822,"Kim Seung-gyu","1"
275931,43963,"Pepe","2"
278388,43941,"Kasper Schmeichel","1"
284087,43834,"Saad Al Sheeb","1"
284190,43834,"Hassan Al-Haydos","4"
288961,43817,"Ehsan Hajisafi","2"
289964,43924,"Thiago Silva","2"
290821,43935,"Axel Witsel","3"
290864,43935,"Toby Alderweireld","2"
290904,43935,"Jan Vertonghen","2"
290931,43849,"Nicolas Nkoulou","2"
291372,43819,"Yuto Nagatomo","2"
294620,43860,"Andre Ayew","4"
297103,43946,"Karim Benzema","4"
297105,43946,"Hugo Lloris","1"
298698,1902465,"Dusan Tadic","3"
298738,43935,"Simon Mignolet","1"
299601,43974,"Wayne Hennessey","1"
299606,43974,"Chris Gunter","2"
299610,43974,"Gareth Bale","4"
299617,43974,"Aaron Ramsey","3"
299688,43962,"Robert Lewandowski","4"
299896,43938,"Domagoj Vida","2"
303034,43969,"Sergio Busquets","3"
303419,43927,"Alexander Dominguez","1"
305382,43930,"Sebastian Coates","2"
305832,43921,"Sean Johnson","1"
306226,43888,"Bilel Ifa","2"
306426,43976,"Andrew Redmayne","1"
306444,43976,"Rhyan Grant","2"
306504,43942,"Kieran Trippier","2"
306634,43860,"Jonathan Mensah","2"
306954,43969,"Jordi Alba","2"
307020,43901,"Ricardo Blanco","2"
