"player_id","distance_walking","distance_low_speed_sprinting","distance_jogging","distance_high_speed_sprinting","distance_high_speed_running","avg_speed","total_distance","top_speed","sprints","speed_runs","distributions_completed_under_pressure","linebreaks_attempted_attacking_line_completed","linebreaks_attempted_defensive_line","receptions_between_midfield_and_defensive_line","offers_to_receive_in_front","linebreaks_attempted_under_pressure","offers_to_receive_outside","offers_to_receive_inside","received_offers_to_receive","linebreaks_attempted_attacking_and_midfield_line","receptions_under_no_pressure","linebreaks_attempted_all_lines","linebreaks_completed_attacking_and_midfield_line","linebreaks_completed_all_lines","linebreaks_attempted_midfield_line_completed","offers_to_receive_in_between","offers_to_receive_in_behind","linebreaks_attempted_defensive_line_completed","completed_switches_of_play","distributions_under_pressure","direct_defensive_pressures_applied","receptions_under_direct_pressure","linebreaks_attempted_midfield_line","offers_to_receive_total","defensive_pressures_applied","receptions_under_pressure","goalkeeper_defensive_actions_outside_penalty_area","receptions_under_indirect_pressure","goalkeeper_defensive_actions_inside_penalty_area","linebreaks_attempted_attacking_line","linebreaks_attempted","linebreaks_attempted_completed","linebreaks_completed_under_pressure","completed_ball_progressions","attempted_switches_of_play","linebreaks_completed_midfield_and_defensive_line","attempted_ball_progressions","take_ons_completed","goalkeeper_goal_preventions","linebreaks_attempted_midfield_and_defensive_line","attempt_at_goal_off_target","attempt_at_goal_outside_the_penalty_area","attempt_at_goal_outside_the_penalty_area_on_target","goals_outside_the_penalty_area","penalties_scored","headed_attempt_at_goal","penalties","fouls_against","throw_ins","substitutions_out","goals","substitutions_in","passes_completed","crosses","time_played","crosses_completed","own_goals","assists","attempt_at_goal","goals_conceded_from_attempt_at_goal_against","attempt_at_goal_on_target","goal_kicks","corners","attempt_at_goal_blocked","offsides","free_kicks","fouls_for","attempt_at_goal_from_free_kicks","attempt_at_goal_inside_the_penalty_area","attempt_at_goal_inside_the_penalty_area_on_target","goals_inside_the_penalty_area","direct_free_kicks","indirect_free_kicks","red_cards","yellow_cards","goals_from_direct_free_kicks","passes"
397870,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
386380,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
351121,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419441,3391.516898,857.354166,4298.038328,265.298362,1430.972246,6.16,10243.18,30.43,60,134,19,1,0,11,4,2,59,3,17,1,5,0,1,0,0,36,22,0,0,24,9,4,1,62,25,28,0,24,0,2,3,1,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,1,8,0,0,0,29,1,100,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,34
385070,820.4238,136.458,1101.4794,45.7254,290.1528,5.94,2394,33.36,10,26,3,0,0,2,0,0,2,13,3,0,0,0,0,0,0,9,6,0,0,5,2,1,0,15,18,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
354861,3195.704285,493.11832,5188.36991,41.447445,1707.847285,6.39,10627.55,28.08,45,162,22,6,0,1,28,6,9,46,21,2,28,0,2,0,7,27,0,0,0,24,6,1,8,55,16,20,0,19,0,6,14,13,5,3,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,43,0,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,44
351129,3359.84236,466.54622,3825.50161,230.6122,987.19761,5.33,8869.7,33.13,42,90,36,15,1,0,29,26,27,9,20,3,45,1,3,0,6,7,0,0,3,48,2,1,9,36,9,19,0,18,0,19,29,21,18,2,4,0,2,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,53,3,100,1,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,2,0,0,0,0,62
433406,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
385068,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
385067,3369.73626,348.259824,3470.505885,83.034171,789.227703,4.84,8061.57,29.14,31,78,14,6,1,0,10,6,4,7,7,2,63,1,2,0,1,1,0,0,1,25,1,0,2,11,3,11,0,11,0,9,12,7,2,4,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,69,0,100,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,4,1,0,0,0,78
