"squad_id","country"
43817,"IR Iran"
43819,"Japan"
43822,"Korea Republic"
43834,"Qatar"
43835,"Saudi Arabia"
43849,"Cameroon"
43860,"Ghana"
43872,"Morocco"
43879,"Senegal"
43888,"Tunisia"
43899,"Canada"
43901,"Costa Rica"
43911,"Mexico"
43921,"USA"
43922,"Argentina"
43924,"Brazil"
43927,"Ecuador"
43930,"Uruguay"
43935,"Belgium"
43938,"Croatia"
43941,"Denmark"
43942,"England"
43946,"France"
43948,"Germany"
43960,"Netherlands"
43962,"Poland"
43963,"Portugal"
43969,"Spain"
43971,"Switzerland"
43974,"Wales"
43976,"Australia"
1902465,"Serbia"
